County Name,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
FAYETTE,487,700,636,716,804,929,1068,1470,1804,2227,1919,1517,987,718,423,211,67,11,,160,594,731,942,1275,1389,1572,2079,2471,3509,4914,4219,2760,1860,1129,605,170,14,
LUZERNE,1117,1935,1779,2024,2240,2516,2823,3651,4366,4656,3658,2998,1760,1226,811,450,117,21,,683,2141,2747,3457,4076,4375,4961,6008,7242,8758,10737,9714,6537,4442,2657,1506,410,48,5
JEFFERSON,70,142,121,162,195,173,187,278,339,439,366,300,175,122,99,71,15,,,67,246,263,354,453,485,571,736,954,1439,1774,1504,1125,869,538,270,83,13,
LANCASTER,2934,4777,4643,5330,5532,5537,5806,6904,8769,10224,8305,5991,3935,2882,1900,982,279,43,,969,2691,3733,4874,5529,5380,5681,6396,7789,9470,14008,13631,9952,7321,4967,2872,899,129,
PIKE,127,234,198,199,243,271,333,558,825,971,1033,941,610,430,214,116,18,,,49,201,169,225,243,295,387,578,695,860,1086,1095,743,463,243,92,20,,
NORTHUMBERLAND,169,323,256,338,354,410,496,628,872,1072,937,827,575,494,253,139,27,7,,112,498,747,927,1175,1179,1336,1652,1983,2462,3351,2861,1993,1346,877,442,116,13,
DAUPHIN,881,1545,1813,1985,2204,2156,2300,2855,3390,4027,3577,3100,1997,1337,834,357,94,17,,391,1176,2001,2312,2610,2628,2618,3210,3765,4722,6560,5722,3380,2355,1573,800,268,36,
ADAMS,265,466,334,401,490,520,615,742,1024,1259,1186,983,684,472,266,102,36,,,84,327,383,536,722,714,798,1123,1493,1842,3043,2907,1885,1275,745,357,100,19,
TIOGA,32,63,65,72,88,88,112,195,227,352,283,239,182,131,70,22,6,,,26,116,140,166,168,243,236,291,342,474,893,862,680,545,261,107,33,8,
PERRY,44,130,177,227,256,299,343,427,664,944,1206,1175,788,549,290,97,21,,,34,119,138,193,261,299,292,390,491,607,974,884,526,319,207,95,21,,
DELAWARE,2577,4655,4303,5492,6286,6471,6282,7532,9061,10257,9101,6421,3292,2254,1514,804,272,39,,1073,3213,4561,5807,6786,7124,7199,8227,9916,11881,14491,12090,9251,6167,4317,2329,699,99,
BRADFORD,142,157,178,187,198,228,276,400,579,754,536,409,328,234,111,61,10,,,49,172,251,318,356,366,427,628,783,940,1387,1294,1076,765,409,191,61,6,
WYOMING,77,144,136,160,169,166,202,280,359,453,389,361,285,170,91,41,12,,,46,163,158,212,232,240,288,405,565,679,882,828,563,283,153,63,16,,
UNION,261,527,157,191,253,262,277,352,481,540,522,503,421,306,227,114,30,,,76,276,250,364,479,485,534,620,717,832,1176,1006,706,527,335,186,57,,
ELK,65,159,131,139,124,154,142,272,339,382,165,157,62,52,47,32,35,6,,62,197,215,326,361,375,474,695,954,1184,1437,1258,827,676,415,197,54,,
POTTER,11,23,21,24,21,28,26,48,76,108,93,101,53,43,18,7,5,,,9,40,40,58,59,95,76,98,134,171,288,315,213,149,76,50,18,,
ALLEGHENY,6927,14402,15563,17109,16739,14245,12992,15375,17709,20458,29809,23348,11408,7778,5064,2708,673,81,16,2162,10501,17292,21570,21762,19885,17837,20964,25438,32943,35187,28252,20449,14845,9670,5639,1683,197,55
CAMBRIA,381,569,522,535,562,656,799,1033,1311,1795,1565,1167,807,592,427,218,74,11,,198,766,919,1149,1291,1495,1698,2102,2638,3796,5343,4531,2944,1976,1286,722,199,27,
LAWRENCE,161,307,274,330,392,415,408,636,740,1004,720,571,379,310,193,107,39,5,,89,358,445,536,733,786,852,1210,1407,1998,2593,2238,1467,1113,733,384,111,12,
FOREST,5,11,10,14,15,15,27,52,55,64,50,37,19,14,7,,,,,7,86,271,334,332,294,225,248,278,265,335,269,190,144,69,20,,,
FRANKLIN,341,476,444,565,670,679,782,908,1260,1454,1175,1084,871,581,401,192,53,7,,125,452,554,828,1046,1125,1295,1544,1913,2534,4148,4218,3075,2117,1326,670,181,29,
CLEARFIELD,136,268,231,297,314,368,444,567,732,891,682,508,302,218,128,57,19,,,100,448,640,863,914,966,1044,1318,1631,1976,2688,2290,1737,1317,758,328,102,7,
SUSQUEHANNA,81,115,100,119,138,195,178,292,423,581,507,403,277,167,83,38,19,,,37,123,136,200,224,262,312,421,560,738,1053,932,673,463,291,136,31,8,
MIFFLIN,57,122,116,139,166,196,213,309,403,497,450,373,298,208,143,75,21,,,37,170,216,318,346,354,430,617,763,1000,1475,1454,1090,861,491,232,79,8,
CLINTON,69,167,142,145,149,165,186,253,334,392,273,199,94,83,68,23,8,,,35,184,167,196,226,263,324,408,537,748,1101,979,725,532,309,163,47,8,
LACKAWANNA,1157,1793,1584,1785,1917,1922,2091,2769,3115,3293,2771,2207,1539,1153,765,406,131,20,,593,2077,2654,3144,3648,3722,3879,4769,5751,6953,7934,7069,4790,3165,1994,1047,329,31,
MONTOUR,84,81,83,144,128,102,121,150,201,231,134,104,88,53,50,22,,5,,48,164,467,600,551,452,400,458,596,734,923,730,518,393,292,142,40,6,
YORK,1613,2155,2036,2618,3022,3178,3490,4502,5724,6398,4815,3986,2786,1883,1146,572,146,14,,564,1874,2592,3374,4202,4466,5028,5933,6898,8615,12854,11774,7733,5196,3305,1670,491,59,5
BEAVER,296,617,657,835,1007,1087,1010,1123,1489,1833,1276,882,480,329,224,157,52,,,124,634,872,1147,1426,1485,1483,1777,2369,3108,3632,2693,1610,1230,703,403,98,12,
WASHINGTON,1082,1514,1332,1708,2270,2412,2504,3173,3870,4859,5213,4162,2374,1431,812,446,134,16,,279,1145,1364,1867,2447,2768,2762,3330,4217,5369,6785,5985,4132,2988,1888,971,279,30,
CUMBERLAND,954,1649,1655,2214,2711,2697,2609,3004,3345,4163,4309,4177,2999,1937,1055,522,119,10,,460,1355,1909,2470,3051,3101,3012,3368,3847,4713,6603,6158,3757,2538,1743,980,330,39,5
INDIANA,257,480,332,338,461,438,508,705,1057,1499,1060,800,424,324,174,92,31,,,70,359,382,430,575,606,676,876,1071,1470,2520,2211,1601,1217,614,295,69,14,
CARBON,160,353,307,380,450,492,602,824,1134,1443,1473,1030,414,246,142,65,22,,,82,277,402,530,624,715,829,1035,1162,1430,1730,1633,1527,947,600,295,82,12,
WESTMORELAND,1203,2182,1866,2122,2471,2667,2912,4055,5063,6208,7036,5911,3486,2307,1361,774,215,28,6,466,2060,2570,3214,3808,4146,4410,5520,6880,9311,11651,10216,6975,4992,3247,1754,478,55,6
BERKS,1282,2248,2198,2608,3175,3346,3858,4937,6231,7155,6828,5890,3149,2072,1470,720,186,41,6,564,1944,2481,3291,4011,4282,4728,5535,6493,7409,9299,8261,6176,4038,2707,1448,401,45,7
HUNTINGDON,70,178,88,128,112,140,169,239,345,392,321,254,193,140,99,40,14,,,78,253,361,470,541,605,680,734,835,1029,1456,1374,950,672,380,195,44,9,
FULTON,6,28,16,26,31,43,43,88,105,171,193,158,124,116,50,15,5,,,,29,30,48,48,61,64,85,102,129,210,217,162,110,49,41,12,,
CHESTER,3586,4866,5016,6293,7899,8109,8504,10210,11401,11896,12162,9912,5217,3334,1980,1015,287,39,,1414,3701,4566,5838,7060,7918,8118,9200,10185,11172,13178,11283,9404,6055,3597,1970,543,72,
WAYNE,171,243,189,253,301,292,350,465,632,808,853,666,449,294,167,72,24,,,60,271,334,431,557,569,683,848,1017,1223,1559,1367,899,600,275,145,28,,
SOMERSET,156,250,163,224,253,259,355,481,592,914,847,749,502,394,243,134,24,,,47,304,429,623,720,734,809,985,1114,1597,2179,1973,1240,944,611,361,83,10,
SCHUYLKILL,316,666,601,743,858,1055,1294,1625,2313,3024,3444,2867,996,696,486,289,89,8,,165,731,1042,1351,1637,1743,1981,2347,2638,3232,4313,3978,3100,2054,1246,665,155,23,
BUTLER,611,1099,952,1179,1413,1333,1306,1664,1926,2100,1390,981,554,390,283,217,63,9,,412,1383,1693,2316,3034,3068,3125,3941,4695,6091,7899,6429,4309,3064,1894,1018,286,35,
MONTGOMERY,4290,6700,7991,10581,12506,12971,13219,15490,17898,20438,26951,21432,10640,6575,4120,2266,654,74,9,1666,4411,6043,7750,9262,9542,9087,10709,12199,13826,14846,12977,11743,8796,6112,3771,1171,148,9
ERIE,1149,2206,1817,1989,2130,2182,2250,2769,3191,3603,2109,1453,917,582,523,295,120,8,,425,2164,2793,3220,3647,3645,3835,4740,5544,6967,8522,6799,4751,3207,1858,1051,314,57,
LEBANON,417,669,675,794,961,1047,1177,1427,1837,2188,1889,1604,1114,775,461,231,67,13,,187,548,746,1019,1266,1320,1433,1600,1912,2393,3686,3424,2280,1633,1157,659,207,36,
ARMSTRONG,168,328,268,313,366,465,554,725,1102,1464,1343,1103,584,433,249,141,32,,,70,297,368,432,630,654,759,944,1202,1648,2230,2015,1362,1044,594,324,77,11,
CLARION,62,153,138,120,132,143,158,197,304,396,234,184,120,87,61,48,17,6,,63,251,257,304,313,376,427,595,769,1032,1402,1128,863,699,402,165,43,7,
PHILADELPHIA,536,1751,2996,3174,2594,2181,2031,2280,2603,2742,2304,1833,1119,864,562,283,116,12,,424,2262,5027,5589,4848,4174,3737,4083,4472,4503,4067,3221,2708,1851,1186,665,201,27,28
CENTRE,1100,2985,1728,1534,1449,1372,1292,1573,1762,1856,1200,935,575,348,233,112,26,,,715,2709,1955,2190,2374,2421,2459,2678,3156,3634,5079,4317,2987,2143,1334,627,204,27,
LEHIGH,1628,3039,3345,4029,4610,4696,5090,5846,7051,8252,8260,6174,2043,1202,931,550,168,14,,513,2341,3666,4498,5075,5579,5478,6181,7459,8714,10348,9447,8266,5686,3724,1949,552,73,
JUNIATA,52,93,53,57,99,98,132,193,237,304,235,213,131,116,71,29,9,,,18,69,89,114,127,148,166,236,311,410,715,646,474,389,223,108,38,,
MERCER,190,433,334,403,384,433,493,708,868,1072,674,455,335,273,196,128,46,15,,176,577,706,892,1161,1153,1383,1875,2417,3304,4123,3703,2727,1930,1213,675,200,27,
MCKEAN,131,200,184,191,218,262,288,405,481,667,501,350,237,211,129,53,14,,,42,171,173,206,282,327,354,422,526,679,926,749,553,346,230,142,44,,
COLUMBIA,189,345,253,320,377,402,516,590,807,933,738,549,453,268,213,90,40,,,97,397,593,772,850,824,938,1149,1408,1676,2428,2126,1433,986,630,352,91,13,
BLAIR,232,443,327,413,458,539,559,700,957,1206,1068,972,633,477,270,132,44,5,,172,575,785,971,1179,1260,1335,1566,1921,2600,3398,3069,2100,1556,966,588,187,21,
LYCOMING,159,393,342,405,472,490,539,784,953,1369,1206,937,637,438,295,140,33,,,108,516,797,998,1207,1130,1217,1458,1799,2357,3626,3211,2182,1466,1048,513,165,26,
SNYDER,84,189,112,167,161,201,252,323,429,532,458,466,376,219,132,49,12,,,34,147,193,234,319,347,430,504,563,687,1079,972,714,482,274,131,42,,
NORTHAMPTON,1444,3100,2819,3303,3824,4024,4306,5565,6876,8342,8650,6666,1828,1149,881,511,136,23,,481,1968,2545,3208,3531,3792,4136,4907,5667,6669,8575,8314,7689,4954,3070,1623,454,58,7
